frame,object_id,suspicion_score,triggered_reclassification
1,0,0.6,True
2,0,0.3819,True
3,0,0.4667,True
4,0,0.4702,True
5,0,0.4966,True
6,0,0.5023,True
7,0,0.5025,True
8,0,0.5028,True
9,0,0.503,True
10,0,0.5053,True
11,0,0.5087,True
12,0,0.5106,True
13,0,0.5129,True
14,0,0.5227,True
15,0,0.5239,True
16,0,0.5245,True
17,0,0.5255,True
18,0,0.526,True
19,0,0.5264,True
20,0,0.5269,True
21,0,0.5268,True
22,0,0.5294,True
23,0,0.5326,True
24,0,0.5354,True
25,0,0.5361,True
26,0,0.5383,True
27,0,0.5311,True
28,0,0.531,True
29,0,0.5314,True
30,0,0.5325,True
31,0,0.5336,True
32,0,0.5327,True
33,0,0.5328,True
34,0,0.5339,True
35,0,0.5337,True
36,0,0.5344,True
37,0,0.5342,True
38,0,0.5342,True
39,0,0.5342,True
40,0,0.5352,True
41,0,0.5346,True
42,0,0.5345,True
43,0,0.5356,True
44,0,0.5343,True
45,0,0.5352,True
46,0,0.5346,True
47,0,0.5343,True
48,0,0.5352,True
49,0,0.5347,True
50,0,0.534,True
51,0,0.5346,True
52,0,0.0001,True
53,0,0.0001,True
54,0,0.0001,True
55,0,0.0014,True
56,0,0.0136,True
57,0,0.0338,True
58,0,0.0038,True
59,0,0.013,True
60,0,0.0239,True
61,0,0.0305,True
62,0,0.0403,True
63,0,0.0488,True
64,0,0.0029,True
65,0,0.0031,True
66,0,0.0005,True
67,0,0.0006,True
68,0,0.0032,True
69,0,0.0032,True
70,0,0.0062,True
71,0,0.0061,True
72,0,0.0061,True
73,0,0.0064,True
74,0,0.0056,True
75,0,0.0061,True
76,0,0.0,True
77,0,0.0,True
78,0,0.0,True
79,0,0.0,True
80,0,0.0,True
81,0,0.0,True
82,0,0.0,True
83,0,0.0,True
84,0,0.0,True
85,0,0.0,True
86,0,0.0,True
87,0,0.0,True
88,0,0.0,True
89,0,0.0,True
90,0,0.0,True
91,0,0.0001,True
92,0,0.0,True
93,0,0.0,True
94,0,0.0,True
95,0,0.0001,True
96,0,0.0001,True
97,0,0.0001,True
98,0,0.0,True
99,0,0.0,True
100,0,0.0,True
101,0,0.0,True
102,0,0.0,True
103,0,0.0,True
104,0,0.0,True
105,0,0.0,True
106,0,0.0,True
107,0,0.0,True
108,0,0.0,True
109,0,0.0,True
110,0,0.0,True
111,0,0.0,True
112,0,0.0,True
113,0,0.0,True
114,0,0.0,True
