frame,object_id,suspicion_score,appearance_drift,tracking_drift,requested_reclassification,actual_reclassification
82,2,0.0542,0.0903,0.0,False,False
83,2,0.0539,0.0899,0.0,False,False
84,2,0.0538,0.0897,0.0,False,False
85,2,0.0571,0.0907,0.0067,False,False
86,2,0.058,0.0904,0.0094,False,False
87,2,0.0605,0.0919,0.0133,False,False
88,2,0.0592,0.0898,0.0133,False,False
89,2,0.0637,0.0929,0.02,False,False
90,1,0.0142,0.0147,0.0133,False,False
90,2,0.081,0.1261,0.0133,False,False
91,1,0.0115,0.0148,0.0067,False,False
91,2,0.0748,0.1246,0.0,False,False
92,1,0.009,0.015,0.0,False,False
92,2,0.0769,0.1281,0.0,False,False
93,1,0.0088,0.0147,0.0,False,False
93,2,0.0777,0.1295,0.0,False,False
94,1,0.009,0.015,0.0,False,False
94,2,0.0814,0.1312,0.0067,False,False
95,1,0.0088,0.0147,0.0,False,False
95,2,0.079,0.1316,0.0,False,False
96,1,0.0143,0.0149,0.0133,False,False
96,2,0.0822,0.1326,0.0067,False,False
97,1,0.0199,0.0154,0.0267,False,False
97,2,0.0891,0.1352,0.02,False,False
98,1,0.0201,0.0158,0.0267,False,False
98,2,0.0919,0.1354,0.0267,False,False
99,1,0.012,0.0155,0.0067,False,False
99,2,0.0876,0.1371,0.0133,False,False
100,1,0.0121,0.0156,0.0067,False,False
100,2,0.0841,0.1402,0.0,False,False
101,1,0.0094,0.0157,0.0,False,False
101,2,0.0865,0.1442,0.0,False,False
102,1,0.0122,0.0159,0.0067,False,False
102,2,0.0869,0.1449,0.0,False,False
103,1,0.0095,0.0158,0.0,False,False
103,2,0.0854,0.1423,0.0,False,False
104,1,0.0096,0.016,0.0,False,False
104,2,0.0872,0.1453,0.0,False,False
105,1,0.0228,0.0158,0.0333,False,False
105,2,0.0901,0.1457,0.0067,False,False
106,1,0.0997,0.0158,0.2256,False,False
106,2,0.0866,0.1443,0.0,False,False
107,1,0.1124,0.0157,0.2575,False,False
107,2,0.087,0.1451,0.0,False,False
108,1,0.0096,0.016,0.0,False,False
108,2,0.0872,0.1454,0.0,False,False
109,1,0.0123,0.016,0.0067,False,False
109,2,0.0861,0.1436,0.0,False,False
110,1,0.1268,0.0157,0.2934,False,False
110,2,0.0862,0.1437,0.0,False,False
111,1,0.1269,0.0158,0.2934,False,False
111,2,0.0868,0.1447,0.0,False,False
112,1,0.0096,0.0159,0.0,False,False
112,2,0.0875,0.1459,0.0,False,False
113,1,0.0096,0.016,0.0,False,False
113,2,0.088,0.1467,0.0,False,False
114,1,0.0097,0.0162,0.0,False,False
114,2,0.0877,0.1461,0.0,False,False
115,1,0.0097,0.0161,0.0,False,False
115,2,0.0873,0.1455,0.0,False,False
116,1,0.0096,0.016,0.0,False,False
116,2,0.0873,0.1455,0.0,False,False
117,1,0.0097,0.0162,0.0,False,False
117,2,0.087,0.1449,0.0,False,False
118,1,0.0096,0.016,0.0,False,False
118,2,0.0868,0.1447,0.0,False,False
119,1,0.0096,0.016,0.0,False,False
119,2,0.0885,0.1475,0.0,False,False
120,1,0.0096,0.0159,0.0,False,False
120,2,0.0892,0.1487,0.0,False,False
121,1,0.0098,0.0163,0.0,False,False
121,2,0.0901,0.1501,0.0,False,False
122,1,0.0097,0.0161,0.0,False,False
122,2,0.0909,0.1515,0.0,False,False
123,1,0.0096,0.0161,0.0,False,False
123,2,0.0915,0.1524,0.0,False,False
124,1,0.0125,0.0165,0.0067,False,False
124,2,0.0928,0.1546,0.0,False,False
125,2,0.0878,0.1275,0.0283,False,False
126,1,0.0927,0.0192,0.2028,False,False
128,1,0.0824,0.0219,0.1733,False,False
128,2,0.1678,0.1185,0.2417,False,False
129,2,0.1439,0.1103,0.1944,False,False
130,2,0.1389,0.1114,0.1801,False,False
131,2,0.0997,0.1119,0.0814,False,False
132,1,0.0846,0.0299,0.1667,False,False
132,2,0.1168,0.116,0.1179,False,False
133,1,0.03,0.0278,0.0333,False,False
133,3,0.6,1.0,0.0,True,True
134,1,0.0153,0.0256,0.0,False,False
134,2,0.0881,0.1184,0.0427,False,False
135,3,0.0068,0.0013,0.0149,False,False
136,3,0.022,0.014,0.034,False,False
137,3,0.0274,0.0235,0.0333,False,False
138,3,0.031,0.0294,0.0333,False,False
139,3,0.0276,0.0326,0.02,False,False
140,3,0.0244,0.0307,0.0149,False,False
141,3,0.02,0.027,0.0094,False,False
142,3,0.0189,0.027,0.0067,False,False
143,3,0.0197,0.0284,0.0067,False,False
144,3,0.0236,0.0305,0.0133,False,False
145,3,0.0196,0.0282,0.0067,False,False
146,3,0.0193,0.0259,0.0094,False,False
147,3,0.0157,0.0261,0.0,False,False
148,3,0.0171,0.0241,0.0067,False,False
149,3,0.015,0.025,0.0,False,False
150,3,0.0163,0.0227,0.0067,False,False
151,3,0.0136,0.0227,0.0,False,False
152,3,0.0167,0.0216,0.0094,False,False
153,3,0.0153,0.0211,0.0067,False,False
154,3,0.0142,0.0192,0.0067,False,False
155,3,0.0114,0.0191,0.0,False,False
156,3,0.0147,0.02,0.0067,False,False
157,3,0.0106,0.0177,0.0,False,False
158,2,0.1691,0.1604,0.1821,False,False
159,3,0.0098,0.0101,0.0094,False,False
160,3,0.0101,0.0124,0.0067,False,False
161,3,0.0125,0.0165,0.0067,False,False
162,3,0.0105,0.0175,0.0,False,False
163,3,0.0133,0.0178,0.0067,False,False
164,3,0.0133,0.0177,0.0067,False,False
165,3,0.0149,0.0204,0.0067,False,False
166,3,0.0154,0.0256,0.0,False,False
167,3,0.0243,0.036,0.0067,False,False
168,3,0.0342,0.0526,0.0067,False,False
